,number,name,type,ability,hidden_ability,gender_ratio,hatch_cycle,egg_group,Base_Experience_Yield,height,weight,leveling_rate,color,base_friendship,category,gen
298,#0298,Azurill,Normal / Fairy,Thick Fat / Huge Power,Sap Sipper,"25% male, 75% female",10cycles,No Eggs Discovered,38.0,0.2,2.0,Fast,Blue,70.0,Polka Dot Pokémon,3
299,#0299,Nosepass,Rock,Sturdy / Magnet Pull,Sand Force,"50% male, 50% female",20cycles,Mineral,75.0,1.0,97.0,Medium Fast,Gray,70.0,Compass Pokémon,3
300,#0300,Skitty,Normal,Cute Charm / Normalize,Wonder Skin,"25% male, 75% female",15cycles,Field / Fairy,52.0,0.6,11.0,Fast,Pink,70.0,Kitten Pokémon,3
301,#0301,Delcatty,Normal,Cute Charm / Normalize,Wonder Skin,"25% male, 75% female",15cycles,Field / Fairy,140.0,1.1,32.6,Fast,Purple,70.0,Prim Pokémon,3
302,#0302,Sableye,Dark / Ghost,Keen Eye / Stall,Prankster,"50% male, 50% female",25cycles,Human-Like,133.0,0.5,11.0,Medium Slow,Purple,35.0,Darkness Pokémon,3
303,#0303,Mawile,Steel / Fairy,Hyper Cutter / Intimidate,Sheer Force,"50% male, 50% female",20cycles,Field / Fairy,133.0,0.6,11.5,Fast,Black,70.0,Deceiver Pokémon,3
304,#0304,Aron,Steel / Rock,Sturdy / Rock Head,Heavy Metal,"50% male, 50% female",35cycles,Monster,66.0,0.4,60.0,Slow,Gray,35.0,Iron Armor Pokémon,3
305,#0305,Lairon,Steel / Rock,Sturdy / Rock Head,Heavy Metal,"50% male, 50% female",35cycles,Monster,151.0,0.9,120.0,Slow,Gray,35.0,Iron Armor Pokémon,3
306,#0306,Aggron,Steel / Rock,Sturdy / Rock Head,Heavy Metal,"50% male, 50% female",35cycles,Monster,239.0,2.1,360.0,Slow,Gray,35.0,Iron Armor Pokémon,3
307,#0307,Meditite,Fighting / Psychic,Pure Power,Telepathy,"50% male, 50% female",20cycles,Human-Like,56.0,0.6,11.2,Medium Fast,Blue,70.0,Meditate Pokémon,3
308,#0308,Medicham,Fighting / Psychic,Pure Power,Telepathy,"50% male, 50% female",20cycles,Human-Like,144.0,1.3,31.5,Medium Fast,Red,70.0,Meditate Pokémon,3
309,#0309,Electrike,Electric,Static / Lightning Rod,Minus,"50% male, 50% female",20cycles,Field,59.0,0.6,15.2,Slow,Green,70.0,Lightning Pokémon,3
310,#0310,Manectric,Electric,Static / Lightning Rod,Minus,"50% male, 50% female",20cycles,Field,166.0,1.5,40.2,Slow,Yellow,70.0,Discharge Pokémon,3
311,#0311,Plusle,Electric,Plus,Lightning Rod,"50% male, 50% female",20cycles,Fairy,142.0,0.4,4.2,Medium Fast,Yellow,70.0,Cheering Pokémon,3
312,#0312,Minun,Electric,Minus,Volt Absorb,"50% male, 50% female",20cycles,Fairy,142.0,0.4,4.2,Medium Fast,Yellow,70.0,Cheering Pokémon,3
313,#0313,Volbeat,Bug,Illuminate / Swarm,Prankster,100% male,15cycles,Bug / Human-Like,151.0,0.7,17.7,Erratic,Gray,70.0,Firefly Pokémon,3
314,#0314,Illumise,Bug,Oblivious / Tinted Lens,Prankster,100% female,15cycles,Bug / Human-Like,151.0,0.6,17.7,Fluctuating,Purple,70.0,Firefly Pokémon,3
315,#0315,Roselia,Grass / Poison,Natural Cure / Poison Point,Leaf Guard,"50% male, 50% female",20cycles,Fairy / Grass,140.0,0.3,2.0,Medium Slow,Green,70.0,Thorn Pokémon,3
316,#0316,Gulpin,Poison,Liquid Ooze / Sticky Hold,Gluttony,"50% male, 50% female",20cycles,Amorphous,60.0,0.4,10.3,Fluctuating,Green,70.0,Stomach Pokémon,3
317,#0317,Swalot,Poison,Liquid Ooze / Sticky Hold,Gluttony,"50% male, 50% female",20cycles,Amorphous,163.0,1.7,80.0,Fluctuating,Purple,70.0,Poison Bag Pokémon,3
318,#0318,Carvanha,Water / Dark,Rough Skin,Speed Boost,"50% male, 50% female",20cycles,Water 2,61.0,0.8,20.8,Slow,Red,35.0,Savage Pokémon,3
319,#0319,Sharpedo,Water / Dark,Rough Skin,Speed Boost,"50% male, 50% female",20cycles,Water 2,161.0,1.8,88.8,Slow,Blue,35.0,Brutal Pokémon,3
320,#0320,Wailmer,Water,Water Veil / Oblivious,Pressure,"50% male, 50% female",40cycles,Field / Water 2,80.0,2.0,130.0,Fluctuating,Blue,70.0,Ball Whale Pokémon,3
321,#0321,Wailord,Water,Water Veil / Oblivious,Pressure,"50% male, 50% female",40cycles,Field / Water 2,175.0,14.5,398.0,Fluctuating,Blue,70.0,Float Whale Pokémon,3
322,#0322,Numel,Fire / Ground,Oblivious / Simple,Own Tempo,"50% male, 50% female",20cycles,Field,61.0,0.7,24.0,Medium Fast,Yellow,70.0,Numb Pokémon,3
323,#0323,Camerupt,Fire / Ground,Magma Armor / Solid Rock,Anger Point,"50% male, 50% female",20cycles,Field,161.0,1.9,220.0,Medium Fast,Red,70.0,Eruption Pokémon,3
324,#0324,Torkoal,Fire,White Smoke / Drought,Shell Armor,"50% male, 50% female",20cycles,Field,165.0,0.5,80.4,Medium Fast,Brown,70.0,Coal Pokémon,3
325,#0325,Spoink,Psychic,Thick Fat / Own Tempo,Gluttony,"50% male, 50% female",20cycles,Field,66.0,0.7,30.6,Fast,Black,70.0,Bounce Pokémon,3
326,#0326,Grumpig,Psychic,Thick Fat / Own Tempo,Gluttony,"50% male, 50% female",20cycles,Field,165.0,0.9,71.5,Fast,Purple,70.0,Manipulate Pokémon,3
327,#0327,Spinda,Normal,Own Tempo / Tangled Feet,Contrary,"50% male, 50% female",15cycles,Field / Human-Like,126.0,1.1,5.0,Fast,Brown,70.0,Spot Panda Pokémon,3
328,#0328,Trapinch,Ground,Hyper Cutter / Arena Trap,Sheer Force,"50% male, 50% female",20cycles,Bug / Dragon,58.0,0.7,15.0,Medium Slow,Brown,70.0,Ant Pit Pokémon,3
329,#0329,Vibrava,Ground / Dragon,Levitate,None,"50% male, 50% female",20cycles,Bug / Dragon,119.0,1.1,15.3,Medium Slow,Green,70.0,Vibration Pokémon,3
330,#0330,Flygon,Ground / Dragon,Levitate,None,"50% male, 50% female",20cycles,Bug / Dragon,234.0,2.0,82.0,Medium Slow,Green,70.0,Mystic Pokémon,3
331,#0331,Cacnea,Grass,Sand Veil,Water Absorb,"50% male, 50% female",20cycles,Grass / Human-Like,67.0,0.4,51.3,Medium Slow,Green,35.0,Cactus Pokémon,3
332,#0332,Cacturne,Grass / Dark,Sand Veil,Water Absorb,"50% male, 50% female",20cycles,Grass / Human-Like,166.0,1.3,77.4,Medium Slow,Green,35.0,Scarecrow Pokémon,3
333,#0333,Swablu,Normal / Flying,Natural Cure,Cloud Nine,"50% male, 50% female",20cycles,Flying / Dragon,62.0,0.4,1.2,Erratic,Blue,70.0,Cotton Bird Pokémon,3
334,#0334,Altaria,Dragon / Flying,Natural Cure,Cloud Nine,"50% male, 50% female",20cycles,Flying / Dragon,172.0,1.1,20.6,Erratic,Blue,70.0,Humming Pokémon,3
335,#0335,Zangoose,Normal,Immunity,Toxic Boost,"50% male, 50% female",20cycles,Field,160.0,1.3,40.3,Erratic,White,70.0,Cat Ferret Pokémon,3
336,#0336,Seviper,Poison,Shed Skin,Infiltrator,"50% male, 50% female",20cycles,Field / Dragon,160.0,2.7,52.5,Fluctuating,Black,70.0,Fang Snake Pokémon,3
337,#0337,Lunatone,Rock / Psychic,Levitate,None,Gender unknown,25cycles,Mineral,161.0,1.0,168.0,Fast,Yellow,70.0,Meteorite Pokémon,3
338,#0338,Solrock,Rock / Psychic,Levitate,None,Gender unknown,25cycles,Mineral,161.0,1.2,154.0,Fast,Red,70.0,Meteorite Pokémon,3
339,#0339,Barboach,Water / Ground,Oblivious / Anticipation,Hydration,"50% male, 50% female",20cycles,Water 2,58.0,0.4,1.9,Medium Fast,Gray,70.0,Whiskers Pokémon,3
340,#0340,Whiscash,Water / Ground,Oblivious / Anticipation,Hydration,"50% male, 50% female",20cycles,Water 2,164.0,0.9,23.6,Medium Fast,Blue,70.0,Whiskers Pokémon,3
341,#0341,Corphish,Water,Hyper Cutter / Shell Armor,Adaptability,"50% male, 50% female",15cycles,Water 1 / Water 3,62.0,0.6,11.5,Fluctuating,Red,70.0,Ruffian Pokémon,3
342,#0342,Crawdaunt,Water / Dark,Hyper Cutter / Shell Armor,Adaptability,"50% male, 50% female",15cycles,Water 1 / Water 3,164.0,1.1,32.8,Fluctuating,Red,70.0,Rogue Pokémon,3
343,#0343,Baltoy,Ground / Psychic,Levitate,None,Gender unknown,20cycles,Mineral,60.0,0.5,21.5,Medium Fast,Brown,70.0,Clay Doll Pokémon,3
344,#0344,Claydol,Ground / Psychic,Levitate,None,Gender unknown,20cycles,Mineral,175.0,1.5,108.0,Medium Fast,Black,70.0,Clay Doll Pokémon,3
345,#0345,Lileep,Rock / Grass,Suction Cups,Storm Drain,"87.5% male, 12.5% female",30cycles,Water 3,71.0,1.0,23.8,Erratic,Purple,70.0,Sea Lily Pokémon,3
346,#0346,Cradily,Rock / Grass,Suction Cups,Storm Drain,"87.5% male, 12.5% female",30cycles,Water 3,173.0,1.5,60.4,Erratic,Green,70.0,Barnacle Pokémon,3
347,#0347,Anorith,Rock / Bug,Battle Armor,Swift Swim,"87.5% male, 12.5% female",30cycles,Water 3,71.0,0.7,12.5,Erratic,Gray,70.0,Old Shrimp Pokémon,3
348,#0348,Armaldo,Rock / Bug,Battle Armor,Swift Swim,"87.5% male, 12.5% female",30cycles,Water 3,173.0,1.5,68.2,Erratic,Gray,70.0,Plate Pokémon,3
349,#0349,Feebas,Water,Swift Swim / Oblivious,Adaptability,"50% male, 50% female",20cycles,Water 1 / Dragon,40.0,0.6,7.4,Erratic,Brown,70.0,Fish Pokémon,3
350,#0350,Milotic,Water,Marvel Scale / Competitive,Cute Charm,"50% male, 50% female",20cycles,Water 1 / Dragon,189.0,6.2,162.0,Erratic,Pink,70.0,Tender Pokémon,3
351,#0351,Castform,Normal,Forecast,None,"50% male, 50% female",25cycles,Fairy / Amorphous,147.0,0.3,0.8,Medium Fast,Gray,70.0,Weather Pokémon,3
352,#0352,Kecleon,Normal,Color Change,Protean,"50% male, 50% female",20cycles,Field,154.0,1.0,22.0,Medium Slow,Green,70.0,Color Swap Pokémon,3
353,#0353,Shuppet,Ghost,Insomnia / Frisk,Cursed Body,"50% male, 50% female",25cycles,Amorphous,59.0,0.6,2.3,Fast,Black,35.0,Puppet Pokémon,3
354,#0354,Banette,Ghost,Insomnia / Frisk,Cursed Body,"50% male, 50% female",25cycles,Amorphous,159.0,1.1,12.5,Fast,Black,35.0,Marionette Pokémon,3
355,#0355,Duskull,Ghost,Levitate,Frisk,"50% male, 50% female",25cycles,Amorphous,59.0,0.8,15.0,Fast,Black,35.0,Requiem Pokémon,3
356,#0356,Dusclops,Ghost,Pressure,Frisk,"50% male, 50% female",25cycles,Amorphous,159.0,1.6,30.6,Fast,Black,35.0,Beckon Pokémon,3
357,#0357,Tropius,Grass / Flying,Chlorophyll / Solar Power,Harvest,"50% male, 50% female",25cycles,Monster / Grass,161.0,2.0,100.0,Slow,Green,70.0,Fruit Pokémon,3
358,#0358,Chimecho,Psychic,Levitate,None,"50% male, 50% female",25cycles,Amorphous,159.0,0.6,1.0,Fast,Blue,70.0,Wind Chime Pokémon,3
359,#0359,Absol,Dark,Pressure / Super Luck,Justified,"50% male, 50% female",25cycles,Field,163.0,1.2,47.0,Medium Slow,White,35.0,Disaster Pokémon,3
360,#0360,Wynaut,Psychic,Shadow Tag,Telepathy,"50% male, 50% female",20cycles,No Eggs Discovered,52.0,0.6,14.0,Medium Fast,Blue,70.0,Bright Pokémon,3
361,#0361,Snorunt,Ice,Inner Focus / Ice Body,Moody,"50% male, 50% female",20cycles,Fairy / Mineral,60.0,0.7,16.8,Medium Fast,Gray,70.0,Snow Hat Pokémon,3
362,#0362,Glalie,Ice,Inner Focus / Ice Body,Moody,"50% male, 50% female",20cycles,Fairy / Mineral,168.0,1.5,256.5,Medium Fast,Gray,70.0,Face Pokémon,3
363,#0363,Spheal,Ice / Water,Thick Fat / Ice Body,Oblivious,"50% male, 50% female",20cycles,Water 1 / Field,58.0,0.8,39.5,Medium Slow,Blue,70.0,Clap Pokémon,3
364,#0364,Sealeo,Ice / Water,Thick Fat / Ice Body,Oblivious,"50% male, 50% female",20cycles,Water 1 / Field,144.0,1.1,87.6,Medium Slow,Blue,70.0,Ball Roll Pokémon,3
365,#0365,Walrein,Ice / Water,Thick Fat / Ice Body,Oblivious,"50% male, 50% female",20cycles,Water 1 / Field,239.0,1.4,150.6,Medium Slow,Blue,70.0,Ice Break Pokémon,3
366,#0366,Clamperl,Water,Shell Armor,Rattled,"50% male, 50% female",20cycles,Water 1,69.0,0.4,52.5,Erratic,Blue,70.0,Bivalve Pokémon,3
367,#0367,Huntail,Water,Swift Swim,Water Veil,"50% male, 50% female",20cycles,Water 1,170.0,1.7,27.0,Erratic,Blue,70.0,Deep Sea Pokémon,3
368,#0368,Gorebyss,Water,Swift Swim,Hydration,"50% male, 50% female",20cycles,Water 1,170.0,1.8,22.6,Erratic,Pink,70.0,South Sea Pokémon,3
369,#0369,Relicanth,Water / Rock,Swift Swim / Rock Head,Sturdy,"87.5% male, 12.5% female",40cycles,Water 1 / Water 2,170.0,1.0,23.4,Slow,Gray,70.0,Longevity Pokémon,3
370,#0370,Luvdisc,Water,Swift Swim,Hydration,"25% male, 75% female",20cycles,Water 2,116.0,0.6,8.7,Fast,Pink,70.0,Rendezvous Pokémon,3
371,#0371,Bagon,Dragon,Rock Head,Sheer Force,"50% male, 50% female",40cycles,Dragon,60.0,0.6,42.1,Slow,Blue,35.0,Rock Head Pokémon,3
372,#0372,Shelgon,Dragon,Rock Head,Overcoat,"50% male, 50% female",40cycles,Dragon,147.0,1.1,110.5,Slow,White,35.0,Endurance Pokémon,3
373,#0373,Salamence,Dragon / Flying,Intimidate,Moxie,"50% male, 50% female",40cycles,Dragon,270.0,1.5,102.6,Slow,Blue,35.0,Dragon Pokémon,3
374,#0374,Beldum,Steel / Psychic,Clear Body,Light Metal,Gender unknown,40cycles,Mineral,60.0,0.6,95.2,Slow,Blue,35.0,Iron Ball Pokémon,3
375,#0375,Metang,Steel / Psychic,Clear Body,Light Metal,Gender unknown,40cycles,Mineral,147.0,1.2,202.5,Slow,Blue,35.0,Iron Claw Pokémon,3
376,#0376,Metagross,Steel / Psychic,Clear Body,Light Metal,Gender unknown,40cycles,Mineral,270.0,1.6,550.0,Slow,Blue,35.0,Iron Leg Pokémon,3
377,#0377,Regirock,Rock,Clear Body,Sturdy,Gender unknown,80cycles,No Eggs Discovered,261.0,1.7,230.0,Slow,Brown,35.0,Rock Peak Pokémon,3
378,#0378,Regice,Ice,Clear Body,Ice Body,Gender unknown,80cycles,No Eggs Discovered,261.0,1.8,175.0,Slow,Blue,35.0,Iceberg Pokémon,3
379,#0379,Registeel,Steel,Clear Body,Light Metal,Gender unknown,80cycles,No Eggs Discovered,261.0,1.9,205.0,Slow,Gray,35.0,Iron Pokémon,3
380,#0380,Latias,Dragon / Psychic,Levitate,None,100% female,120cycles,No Eggs Discovered,270.0,1.4,40.0,Slow,Red,90.0,Eon Pokémon,3
381,#0381,Latios,Dragon / Psychic,Levitate,None,100% male,120cycles,No Eggs Discovered,270.0,2.0,60.0,Slow,Blue,90.0,Eon Pokémon,3
382,#0382,Kyogre,Water,Drizzle,None,Gender unknown,120cycles,No Eggs Discovered,302.0,4.5,352.0,Slow,Blue,0.0,Sea Basin Pokémon,3
383,#0383,Groudon,Ground,Drought,None,Gender unknown,120cycles,No Eggs Discovered,302.0,3.5,950.0,Slow,Red,0.0,Continent Pokémon,3
384,#0384,Rayquaza,Dragon / Flying,Air Lock,None,Gender unknown,120cycles,No Eggs Discovered,306.0,7.0,206.5,Slow,Green,0.0,Sky High Pokémon,3
385,#0385,Jirachi,Steel / Psychic,Serene Grace,None,Gender unknown,120cycles,No Eggs Discovered,270.0,0.3,1.1,Slow,Yellow,100.0,Wish Pokémon,3
386,#0386,Deoxys,Psychic,Pressure,None,Gender unknown,120cycles,No Eggs Discovered,270.0,1.7,60.8,Slow,Red,0.0,DNA Pokémon,3
387,#0387,Turtwig,Grass,Overgrow,Shell Armor,"87.5% male, 12.5% female",20cycles,Monster / Grass,64.0,0.4,10.2,Medium Slow,Green,70.0,Tiny Leaf Pokémon,4
388,#0388,Grotle,Grass,Overgrow,Shell Armor,"87.5% male, 12.5% female",20cycles,Monster / Grass,142.0,1.1,97.0,Medium Slow,Green,70.0,Grove Pokémon,4
389,#0389,Torterra,Grass / Ground,Overgrow,Shell Armor,"87.5% male, 12.5% female",20cycles,Monster / Grass,236.0,2.2,310.0,Medium Slow,Green,70.0,Continent Pokémon,4
390,#0390,Chimchar,Fire,Blaze,Iron Fist,"87.5% male, 12.5% female",20cycles,Field / Human-Like,62.0,0.5,6.2,Medium Slow,Brown,70.0,Chimp Pokémon,4
391,#0391,Monferno,Fire / Fighting,Blaze,Iron Fist,"87.5% male, 12.5% female",20cycles,Field / Human-Like,142.0,0.9,22.0,Medium Slow,Brown,70.0,Playful Pokémon,4
392,#0392,Infernape,Fire / Fighting,Blaze,Iron Fist,"87.5% male, 12.5% female",20cycles,Field / Human-Like,240.0,1.2,55.0,Medium Slow,Brown,70.0,Flame Pokémon,4
393,#0393,Piplup,Water,Torrent,Competitive,"87.5% male, 12.5% female",20cycles,Water 1 / Field,63.0,0.4,5.2,Medium Slow,Blue,70.0,Penguin Pokémon,4
394,#0394,Prinplup,Water,Torrent,Competitive,"87.5% male, 12.5% female",20cycles,Water 1 / Field,142.0,0.8,23.0,Medium Slow,Blue,70.0,Penguin Pokémon,4
395,#0395,Empoleon,Water / Steel,Torrent,Competitive,"87.5% male, 12.5% female",20cycles,Water 1 / Field,239.0,1.7,84.5,Medium Slow,Blue,70.0,Emperor Pokémon,4
396,#0396,Starly,Normal / Flying,Keen Eye,Reckless,"50% male, 50% female",15cycles,Flying,49.0,0.3,2.0,Medium Slow,Brown,70.0,Starling Pokémon,4
397,#0397,Staravia,Normal / Flying,Intimidate,Reckless,"50% male, 50% female",15cycles,Flying,119.0,0.6,15.5,Medium Slow,Brown,70.0,Starling Pokémon,4
398,#0398,Staraptor,Normal / Flying,Intimidate,Reckless,"50% male, 50% female",15cycles,Flying,218.0,1.2,24.9,Medium Slow,Brown,70.0,Predator Pokémon,4
399,#0399,Bidoof,Normal,Simple / Unaware,Moody,"50% male, 50% female",15cycles,Water 1 / Field,50.0,0.5,20.0,Medium Fast,Brown,70.0,Plump Mouse Pokémon,4
400,#0400,Bibarel,Normal / Water,Simple / Unaware,Moody,"50% male, 50% female",15cycles,Water 1 / Field,144.0,1.0,31.5,Medium Fast,Brown,70.0,Beaver Pokémon,4
401,#0401,Kricketot,Bug,Shed Skin,Run Away,"50% male, 50% female",15cycles,Bug,39.0,0.3,2.2,Medium Slow,Red,70.0,Cricket Pokémon,4
402,#0402,Kricketune,Bug,Swarm,Technician,"50% male, 50% female",15cycles,Bug,134.0,1.0,25.5,Medium Slow,Red,70.0,Cricket Pokémon,4
403,#0403,Shinx,Electric,Rivalry / Intimidate,Guts,"50% male, 50% female",20cycles,Field,53.0,0.5,9.5,Medium Slow,Blue,70.0,Flash Pokémon,4
404,#0404,Luxio,Electric,Rivalry / Intimidate,Guts,"50% male, 50% female",20cycles,Field,127.0,0.9,30.5,Medium Slow,Blue,100.0,Spark Pokémon,4
405,#0405,Luxray,Electric,Rivalry / Intimidate,Guts,"50% male, 50% female",20cycles,Field,235.0,1.4,42.0,Medium Slow,Blue,70.0,Gleam Eyes Pokémon,4
406,#0406,Budew,Grass / Poison,Natural Cure / Poison Point,Leaf Guard,"50% male, 50% female",20cycles,No Eggs Discovered,56.0,0.2,1.2,Medium Slow,Green,70.0,Bud Pokémon,4
407,#0407,Roserade,Grass / Poison,Natural Cure / Poison Point,Technician,"50% male, 50% female",20cycles,Fairy / Grass,232.0,0.9,14.5,Medium Slow,Green,70.0,Bouquet Pokémon,4
408,#0408,Cranidos,Rock,Mold Breaker,Sheer Force,"87.5% male, 12.5% female",30cycles,Monster,70.0,0.9,31.5,Erratic,Blue,70.0,Head Butt Pokémon,4
409,#0409,Rampardos,Rock,Mold Breaker,Sheer Force,"87.5% male, 12.5% female",30cycles,Monster,173.0,1.6,102.5,Erratic,Blue,70.0,Head Butt Pokémon,4
410,#0410,Shieldon,Rock / Steel,Sturdy,Soundproof,"87.5% male, 12.5% female",30cycles,Monster,70.0,0.5,57.0,Erratic,Gray,70.0,Shield Pokémon,4
411,#0411,Bastiodon,Rock / Steel,Sturdy,Soundproof,"87.5% male, 12.5% female",30cycles,Monster,173.0,1.3,149.5,Erratic,Gray,70.0,Shield Pokémon,4
412,#0412,Burmy,Bug,Shed Skin,Overcoat,"50% male, 50% female",15cycles,Bug,45.0,0.2,3.4,Medium Fast,Green,70.0,Bagworm Pokémon,4
413,#0413,Wormadam,Bug / Grass,Anticipation,Overcoat,100% female,15cycles,Bug,148.0,0.5,6.5,Medium Fast,Green,70.0,Bagworm Pokémon,4
414,#0414,Mothim,Bug / Flying,Swarm,Tinted Lens,100% male,15cycles,Bug,148.0,0.9,23.3,Medium Fast,Yellow,70.0,Moth Pokémon,4
415,#0415,Combee,Bug / Flying,Honey Gather,Hustle,"87.5% male, 12.5% female",15cycles,Bug,49.0,0.3,5.5,Medium Slow,Yellow,70.0,Tiny Bee Pokémon,4
416,#0416,Vespiquen,Bug / Flying,Pressure,Unnerve,100% female,15cycles,Bug,166.0,1.2,38.5,Medium Slow,Yellow,70.0,Beehive Pokémon,4
417,#0417,Pachirisu,Electric,Run Away / Pickup,Volt Absorb,"50% male, 50% female",10cycles,Field / Fairy,142.0,0.4,3.9,Medium Fast,White,100.0,EleSquirrel Pokémon,4
418,#0418,Buizel,Water,Swift Swim,Water Veil,"50% male, 50% female",20cycles,Water 1 / Field,66.0,0.7,29.5,Medium Fast,Brown,70.0,Sea Weasel Pokémon,4
419,#0419,Floatzel,Water,Swift Swim,Water Veil,"50% male, 50% female",20cycles,Water 1 / Field,173.0,1.1,33.5,Medium Fast,Brown,70.0,Sea Weasel Pokémon,4
420,#0420,Cherubi,Grass,Chlorophyll,None,"50% male, 50% female",20cycles,Fairy / Grass,55.0,0.4,3.3,Medium Fast,Pink,70.0,Cherry Pokémon,4
421,#0421,Cherrim,Grass,Flower Gift,None,"50% male, 50% female",20cycles,Fairy / Grass,158.0,0.5,9.3,Medium Fast,Purple,70.0,Blossom Pokémon,4
422,#0422,Shellos,Water,Sticky Hold / Storm Drain,Sand Force,"50% male, 50% female",20cycles,Water 1 / Amorphous,65.0,0.3,6.3,Medium Fast,Purple,70.0,Sea Slug Pokémon,4
423,#0423,Gastrodon,Water / Ground,Sticky Hold / Storm Drain,Sand Force,"50% male, 50% female",20cycles,Water 1 / Amorphous,166.0,0.9,29.9,Medium Fast,Purple,70.0,Sea Slug Pokémon,4
424,#0424,Ambipom,Normal,Technician / Pickup,Skill Link,"50% male, 50% female",20cycles,Field,169.0,1.2,20.3,Fast,Purple,100.0,Long Tail Pokémon,4
425,#0425,Drifloon,Ghost / Flying,Aftermath / Unburden,Flare Boost,"50% male, 50% female",30cycles,Amorphous,70.0,0.4,1.2,Fluctuating,Purple,70.0,Balloon Pokémon,4
426,#0426,Drifblim,Ghost / Flying,Aftermath / Unburden,Flare Boost,"50% male, 50% female",30cycles,Amorphous,174.0,1.2,15.0,Fluctuating,Purple,70.0,Blimp Pokémon,4
427,#0427,Buneary,Normal,Run Away / Klutz,Limber,"50% male, 50% female",20cycles,Field / Human-Like,70.0,0.4,5.5,Medium Fast,Brown,0.0,Rabbit Pokémon,4
428,#0428,Lopunny,Normal,Cute Charm / Klutz,Limber,"50% male, 50% female",20cycles,Field / Human-Like,168.0,1.2,33.3,Medium Fast,Brown,140.0,Rabbit Pokémon,4
429,#0429,Mismagius,Ghost,Levitate,None,"50% male, 50% female",25cycles,Amorphous,173.0,0.9,4.4,Fast,Purple,35.0,Magical Pokémon,4
430,#0430,Honchkrow,Dark / Flying,Insomnia / Super Luck,Moxie,"50% male, 50% female",20cycles,Flying,177.0,0.9,27.3,Medium Slow,Black,35.0,Big Boss Pokémon,4
431,#0431,Glameow,Normal,Limber / Own Tempo,Keen Eye,"25% male, 75% female",20cycles,Field,62.0,0.5,3.9,Fast,Gray,70.0,Catty Pokémon,4
432,#0432,Purugly,Normal,Thick Fat / Own Tempo,Defiant,"25% male, 75% female",20cycles,Field,158.0,1.0,43.8,Fast,Gray,70.0,Tiger Cat Pokémon,4
433,#0433,Chingling,Psychic,Levitate,None,"50% male, 50% female",25cycles,No Eggs Discovered,57.0,0.2,0.6,Fast,Yellow,70.0,Bell Pokémon,4
434,#0434,Stunky,Poison / Dark,Stench / Aftermath,Keen Eye,"50% male, 50% female",20cycles,Field,66.0,0.4,19.2,Medium Fast,Purple,70.0,Skunk Pokémon,4
435,#0435,Skuntank,Poison / Dark,Stench / Aftermath,Keen Eye,"50% male, 50% female",20cycles,Field,168.0,1.0,38.0,Medium Fast,Purple,70.0,Skunk Pokémon,4
436,#0436,Bronzor,Steel / Psychic,Levitate / Heatproof,Heavy Metal,Gender unknown,20cycles,Mineral,60.0,0.5,60.5,Medium Fast,Green,70.0,Bronze Pokémon,4
437,#0437,Bronzong,Steel / Psychic,Levitate / Heatproof,Heavy Metal,Gender unknown,20cycles,Mineral,175.0,1.3,187.0,Medium Fast,Green,70.0,Bronze Bell Pokémon,4
438,#0438,Bonsly,Rock,Sturdy / Rock Head,Rattled,"50% male, 50% female",20cycles,No Eggs Discovered,58.0,0.5,15.0,Medium Fast,Brown,70.0,Bonsai Pokémon,4
439,#0439,Mime Jr.,Psychic / Fairy,Soundproof / Filter,Technician,"50% male, 50% female",25cycles,No Eggs Discovered,62.0,0.6,13.0,Medium Fast,Pink,70.0,Mime Pokémon,4
440,#0440,Happiny,Normal,Natural Cure / Serene Grace,Friend Guard,100% female,40cycles,No Eggs Discovered,110.0,0.6,24.4,Fast,Pink,140.0,Playhouse Pokémon,4
441,#0441,Chatot,Normal / Flying,Keen Eye / Tangled Feet,Big Pecks,"50% male, 50% female",20cycles,Flying,144.0,0.5,1.9,Medium Slow,Black,35.0,Music Note Pokémon,4
442,#0442,Spiritomb,Ghost / Dark,Pressure,Infiltrator,"50% male, 50% female",30cycles,Amorphous,170.0,1.0,108.0,Medium Fast,Purple,70.0,Forbidden Pokémon,4
443,#0443,Gible,Dragon / Ground,Sand Veil,Rough Skin,"50% male, 50% female",40cycles,Monster / Dragon,60.0,0.7,20.5,Slow,Blue,70.0,Land Shark Pokémon,4
444,#0444,Gabite,Dragon / Ground,Sand Veil,Rough Skin,"50% male, 50% female",40cycles,Monster / Dragon,144.0,1.4,56.0,Slow,Blue,70.0,Cave Pokémon,4
445,#0445,Garchomp,Dragon / Ground,Sand Veil,Rough Skin,"50% male, 50% female",40cycles,Monster / Dragon,270.0,1.9,95.0,Slow,Blue,70.0,Mach Pokémon,4
446,#0446,Munchlax,Normal,Pickup / Thick Fat,Gluttony,"87.5% male, 12.5% female",40cycles,No Eggs Discovered,78.0,0.6,105.0,Slow,Black,70.0,Big Eater Pokémon,4
447,#0447,Riolu,Fighting,Steadfast / Inner Focus,Prankster,"87.5% male, 12.5% female",25cycles,No Eggs Discovered,57.0,0.7,20.2,Medium Slow,Blue,70.0,Emanation Pokémon,4
448,#0448,Lucario,Fighting / Steel,Steadfast / Inner Focus,Justified,"87.5% male, 12.5% female",25cycles,Field / Human-Like,184.0,1.2,54.0,Medium Slow,Blue,70.0,Aura Pokémon,4
